size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,size_100kilo_bytes,price_mms,user_rating_mms,rating_count_mms
60320768,1.99,21825,10,3.0,4.0,4.0.8,9+,Entertainment,589.07,0.006633554451815061,0.5,0.007336599796616437
100849664,0.0,508808,99,3.0,4.5,6.3.5,4+,Games,984.86,0.0,0.5,0.17104624874986343
72748032,0.0,57500,103,3.0,4.0,3.5.13,4+,Sports,710.43,0.0,0.5,0.019329506584752958
32164864,1.99,2576,4,4.0,5.0,7.0,4+,Games,314.11,0.006633554451815061,0.75,0.0008656407842873591
69079040,1.99,1572,34,4.0,4.5,4.8.2,4+,Weather,674.6,0.006633554451815061,0.75,0.0005281249212098801
82037760,2.99,3292,2,3.0,5.0,4.56.1,4+,Business,801.15,0.009966998899963333,0.5,0.0011063393479959994
150195200,4.99,8932,55,4.5,5.0,7.2.3,4+,Education,1466.75,0.016633887796259877,0.875,0.003002344793969089
199734272,0.0,495626,5893,3.5,4.5,8.11,4+,Weather,1950.53,0.0,0.625,0.16661484027666887
13156352,0.99,812,14,3.0,4.0,8.2.0,4+,Lifestyle,128.48,0.003300110003666789,0.5,0.00027263482565322266
30367744,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,296.56,0.009966998899963333,0.625,0.0005318228041718843
93420544,0.0,113936,150,4.5,5.0,10.18.0,4+,Food & Drink,912.31,0.0,0.875,0.03830166320690495
31505408,4.99,2027,2,4.0,5.0,9.30,4+,Entertainment,307.67,0.016633887796259877,0.75,0.0006810828073655106
25997312,3.99,768,4,4.0,4.0,7.1,4+,Education,253.88,0.013300443348111604,0.75,0.00025784329380520565
182054912,0.0,373835,402,4.0,4.5,8.0.2,4+,Health & Fitness,1777.88,0.0,0.75,0.12567221629253617
138754048,0.0,108131,13,3.0,2.0,8.21.0,4+,Shopping,1355.02,0.0,0.5,0.0363501895165018
13564835,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,132.469091796875,0.003300110003666789,0.625,0.006367754460571323
133688320,0.0,126312,22,3.5,3.0,9.10.0,4+,Shopping,1305.55,0.0,0.625,0.0424621177103381
55205888,4.99,35735,378,4.0,4.5,1.5.1,4+,Games,539.12,0.016633887796259877,0.75,0.012012740887659997
46922752,4.99,410,7,3.0,2.5,4.8.1,4+,Utilities,458.23,0.016633887796259877,0.5,0.0001374940119508854
63283200,12.99,1390,143,4.5,5.0,7.0.1,4+,Music,618.0,0.04330144338144605,0.875,0.0004669417667476279
53426176,0.0,38,2,3.5,5.0,5.2.6,4+,Music,521.74,0.0,0.625,1.2438333599468848e-05
39505920,0.0,233270,14625,4.5,4.5,2.610,4+,Finance,385.8,0.0,0.875,0.07841831460579726
210088960,21.99,64,0,4.5,0.0,4.1.1,4+,Reference,2051.65,0.07330244341478048,0.875,2.1178784236933446e-05
36399104,0.0,109349,1540,3.5,5.0,6.3,12+,Food & Drink,355.46,0.0,0.625,0.03675964601174918
115143680,0.0,2229,4,3.5,1.0,6.2.1,17+,News,1124.45,0.0,0.625,0.0007489893853950432
56481792,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,551.58,0.006633554451815061,0.625,0.00503214636893106
181941248,0.0,144214,2162,3.5,4.0,10.4.1,4+,Weather,1776.77,0.0,0.625,0.04848025414541084
162891776,0.0,232940,683,4.0,4.5,5.9.0,4+,Finance,1590.74,0.0,0.75,0.07830737811693714
98108416,0.0,48407,20,3.0,3.5,5.16,12+,News,958.09,0.0,0.5,0.016272702059888896
54088704,0.99,5531,37,3.5,2.5,4.3,4+,Utilities,528.21,0.003300110003666789,0.625,0.001859026616353047
50155520,1.99,3393,77,4.0,4.0,5.1.0,4+,Education,489.8,0.006633554451815061,0.75,0.0011402926370107657
23936000,0.0,65016,274,3.5,5.0,3.8.2,4+,Utilities,233.75,0.0,0.625,0.021856169161336952
145293312,0.99,187529,1071,4.0,4.0,1.48.2,9+,Entertainment,1418.88,0.003300110003666789,0.75,0.06304150873624849
140367872,0.0,33969,466,3.5,5.0,5.4.1,4+,Health & Fitness,1370.78,0.0,0.625,0.011419062586669132
281244672,0.0,48822,193,3.5,4.0,8.5.0,4+,Finance,2746.53,0.0,0.625,0.016412213098909965
66695168,1.99,59155,101,4.5,2.5,3.2.0,4+,Games,651.32,0.006633554451815061,0.875,0.019885869884945416
169747456,0.0,252076,80,3.5,4.5,5.11,4+,Book,1657.69,0.0,0.625,0.08474034978611109
41691136,1.99,4913,1,4.0,4.0,3.3.2,9+,Games,407.14,0.006633554451815061,0.75,0.0016512728281240807
122886144,0.0,1744,0,3.5,0.0,10.10.46,4+,Finance,1200.06,0.0,0.625,0.000585946363888492
55803904,0.99,16567,1155,4.5,4.5,2.29.13,4+,Games,544.96,0.003300110003666789,0.875,0.005569011740778404
188956672,0.0,187315,9,2.0,4.0,17.05.15,17+,Games,1845.28,0.0,0.25,0.0629695681040786
22185984,2.99,4781,1,4.5,5.0,3.9.2,4+,Music,216.66,0.009966998899963333,0.875,0.0016068982325800297
66160640,3.99,94,4,4.5,4.5,11.0.10,4+,Games,646.1,0.013300443348111604,0.875,3.1263919587854136e-05
28135424,0.99,29554,55,4.0,5.0,3.6.1,4+,Photo & Video,274.76,0.003300110003666789,0.75,0.009934866834191971
27962441,0.99,32988,2489,4.0,4.0,1.7,12+,Games,273.070712890625,0.003300110003666789,0.75,0.011089278660694027
133238784,0.0,373519,127,3.5,4.0,6.35.1,4+,Social Networking,1301.16,0.0,0.625,0.12556598620017312
151573504,0.0,334293,919,4.0,4.0,8.6,17+,Social Networking,1480.21,0.0,0.75,0.11237933555766595
27069440,1.99,2302,3,3.5,5.0,5.1,4+,Photo & Video,264.35,0.006633554451815061,0.625,0.0007735298814156168
101259264,0.0,60659,57,3.0,2.5,17.05.01,17+,Social Networking,988.86,0.0,0.5,0.020391471337204904
168192000,2.99,2562,10,4.0,4.5,5.1,4+,Games,1642.5,0.009966998899963333,0.75,0.0008609343877902628
17485824,4.99,3042,6,3.5,4.0,3.3.0,4+,Finance,170.76,0.016633887796259877,0.625,0.0010222965534049937
5234688,0.99,338,12,2.5,2.0,5.0,4+,Weather,51.12,0.003300110003666789,0.375,0.00011328968710867573
237913088,2.99,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,2323.37,0.009966998899963333,0.875,0.005524300974055989
233513984,2.99,10046,7,4.5,5.0,17.5.5,4+,Health & Fitness,2280.41,0.009966998899963333,0.875,0.0033768394866666106
110420992,0.0,29107,85,3.0,4.0,11.2,12+,News,1078.33,0.0,0.5,0.009784598317463252
47774720,1.99,878,48,4.0,4.5,8.7.5,17+,Games,466.55,0.006633554451815061,0.75,0.00029482212342524813
22259712,0.99,1140,20,3.5,3.5,3.6,4+,Games,217.38,0.003300110003666789,0.625,0.0003828989721566222
431771648,2.99,35074,403,4.5,4.0,3.3.0,4+,Games,4216.52,0.009966998899963333,0.875,0.011790531738761378
120357888,0.0,59639,11,3.0,2.5,10.2.2,17+,Sports,1175.37,0.0,0.5,0.0200485767352736
90828800,4.99,2913,357,4.0,5.0,7.4,4+,Health & Fitness,887.0,0.016633887796259877,0.75,0.0009789304713960347
30796800,0.0,39722,0,3.0,0.0,5.1,4+,Photo & Video,300.75,0.0,0.5,0.013353055375797356
151397376,0.0,81006,25,3.5,3.0,4.9.705,4+,Entertainment,1478.49,0.0,0.625,0.02723154630337768
46880768,0.0,53465,204,3.5,4.0,2.8.1,4+,Games,457.82,0.0,0.625,0.017973055880054125
48741376,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,475.99,0.003300110003666789,0.875,0.1328750199601637
17145856,1.99,2021,147,4.5,4.5,3.5.1,4+,Utilities,167.44,0.006633554451815061,0.875,0.0006790657802953264
25808896,0.0,182,0,3.0,0.0,6.52,17+,Entertainment,252.04,0.0,0.5,6.0846983283888156e-05
81924096,0.0,291787,589,4.0,5.0,8.6,4+,Entertainment,800.04,0.0,0.75,0.0980900434501248
19451904,1.99,2441,4,4.0,5.0,9.9,17+,Utilities,189.96,0.006633554451815061,0.75,0.0008202576752082161
118683648,0.99,1372,25,4.0,4.0,1.8.3,12+,Games,1159.02,0.003300110003666789,0.75,0.0004608906855370755
723764224,249.99,773,10,4.0,3.5,5.0.1,4+,Education,7068.01,0.8333277775925865,0.75,0.00025952414969702573
111275008,0.0,200047,177,4.0,4.0,7.1.3,4+,Reference,1086.67,0.0,0.75,0.06724969954700934
109616128,0.0,112,0,3.5,0.0,5.0.11,12+,News,1070.47,0.0,0.625,3.7315000798406545e-05
120725504,0.0,148160,63,4.5,3.5,9.0.701,4+,Sports,1178.96,0.0,0.875,0.04980678561523527
68491264,0.0,108507,628,3.0,3.0,5.3,4+,Utilities,668.86,0.0,0.5,0.03647658987956667
122153984,0.0,46,0,3.0,0.0,7.3.0,4+,Entertainment,1192.91,0.0,0.5,1.5127703026381033e-05
122315776,0.0,51427,874,4.0,5.0,7.7.0,4+,Photo & Video,1194.49,0.0,0.75,0.017287939018548245
17010688,0.99,53821,165,3.5,4.0,1.8.9,12+,Games,166.12,0.003300110003666789,0.625,0.018092732819551715
3691520,0.0,38681,563,4.0,4.5,4.3,4+,Business,36.05,0.0,0.75,0.013003101179120409
31387648,0.99,17776,6,4.0,5.0,4.6.1,4+,Games,306.52,0.003300110003666789,0.75,0.005975442695420508
